code_postal,nom_commune
38620.0,SAINT-GEOIRE-EN-VALDAINE
38950.0,QUAIX-EN-CHARTREUSE
38150.0,LA CHAPELLE-DE-SURIEU
80540.0,REVEL
38740.0,VALBONNAIS
38930.0,LE PERCY
38150.0,SAINT-ROMAIN-DE-SURIEU
38890.0,VIGNIEU
38710.0,MENS
38122.0,CHALON
38330.0,SAINT-NAZAIRE-LES-EYMES
38110.0,LA CHAPELLE DE LA TOUR
38210.0,VOUREY
38220.0,NOTRE-DAME-DE-MESAGE
38144.0,NOTRE-DAME-DE-VAULX
38890.0,MONTCARRA
38110.0,SAINT-DIDIER-DE-LA-TOUR
34970.0,LATTES
5230.0,PRUNIERES
38120.0,PROVEYSIEUX
77420.0,CHAMPS-SUR-MARNE
38330.0,BIVIERS
38840.0,LA SONE
38660.0,LUMBIN
38230.0,CHAVANOZ
38440.0,ARTAS
38300.0,CHATEAUVILAIN
11100.0,NARBONNE
38300.0,MEYRIE
38190.0,LE CHAMP-PRES-FROGES
38730.0,CHELIEU
34160.0,MONTAUD
70140.0,MONTAGNE
26380.0,PEYRINS
38110.0,SAINTE-BLANDINE
69001.0,LYON
38440.0,LIEUDIEU
38520.0,ORNON
38138.0,LES COTES-D'AREY
38970.0,PELLAFOL
38350.0,LA SALLE-EN-BEAUMONT
38470.0,TECHE
38200.0,JARDIN
38300.0,DOMARIN
38320.0,HERBEYS
38440.0,SAVAS-MEPIN
38134.0,SAINT-JOSEPH-DE-RIVIERE
38460.0,LEYRIEU
38300.0,LES EPARRES
38890.0,SALAGNON
38890.0,VASSELIN
38440.0,MEYSSIEZ
38280.0,ANTHON
6150.0,CANNES
38570.0,LE CHEYLAS
38210.0,CRAS
38210.0,MORETTE
38460.0,SAINT-HILAIRE-DE-BRENS
38650.0,AVIGNONET
94400.0,VITRY-SUR-SEINE
38260.0,ORNACIEUX-BALBINS
38450.0,MIRIBEL-LANCHATRE
81310.0,PARIS
38380.0,SAINT-PIERRE-D'ENTREMONT
38150.0,VERNIOZ
