siren,nom_entreprise,adresse,ville,code_postal,code_epci
788058030,ADOMA,PIERRE MENDES FRANCE,PARIS,75013,200054781
592033930,ME GROUP FRANCE,AUBER,PARIS,75009,200054781
433999356,RANDSTAD (RANDSTAD INHOUSE),DU PRESIDENT WILSON,SAINT-DENIS,93210,200054781
972200018,FIDUCIAL CONSULTING (FIDUCIAL CONSULTING) (FIDINFOR),DU CAPITAINE GUYNEMER,COURBEVOIE,92400,200054781
552108722,SOC FIDUCIAIRE NATIO EXPERTISE COMPTABLE (FIDUCIAL EXPERTISE ; JADE FIDUCIAL) (FID),DU CAPITAINE GUYNEMER,COURBEVOIE,92400,200054781
531757029,CAP SUD FRANCE,CONDORCET,VAULX-MILIEU,38090,243800604
775688732,APF FRANCE HANDICAP (APF),AUGUSTE BLANQUI,PARIS,75013,200054781
538160656,MAVALEIX SOLAIRE,LE LANGAULT,SAINT-HILAIRE-LA-GRAVELLE,41160,200040772
315549352,MILEE (ADREXO ET LAST SMILE PARTNER),J R G GAUTIER DE LA LAUZIERE,AIX-EN-PROVENCE,13080,200054807
789139789,COLRUYT RETAIL FRANCE (DATS),,ROCHEFORT-SUR-NENON,39700,200010650
939921201,ROY ENERGIE 2025,GONDRELIER,TOURY,28310,200070159
333583466,KUEHNE+NAGEL,PARC ACTIVIT NID A GRIVE,FERRIERES-EN-BRIE,77164,247700594
329925010,SYNERGIE,DE PARIS,BOULOGNE BILLANCOURT,92100,200054781
428611719,SOCIETE COOPERATIVE AGRICOLE ET AGRO-ALIMENTAIRE AGRIAL,DES ROQUEMONTS,CAEN,14000,200065597
477181010,API RESTAURATION,DU GENERAL DE GAULLE,MONS-EN-BARï¿½UL,59370,200093201
444608442,ENEDIS,DE LA PYRAMIDE,PUTEAUX,92800,200054781
328368915,OFFICE CENTRAL COOPERATION A L ECOLE (OCCE 71),JULES FERRY,CHALON-SUR-SAONE,71100,247100589
911202596,NWJ MET 2,BOSQUET,PARIS,75007,200054781
775596885,OXYANE,MARCEL DASSAULT,GENAS,69740,246900575
902573237,CAL V,DE RICHELIEU,PARIS,75002,200054781
775646615,ITINOVA,SERVIENT,LYON,69003,200046977
850277047,ENERFI,BAUDELET,BLARINGHEM,59173,200040947
812941359,ELYOR ENERGY SPV1,DES VERGERS,MUDAISON,34130,243400470
552046955,ENGIE ENERGIE SERVICES (ENGIE E.S.),SAMUEL DE CHAMPLAIN,COURBEVOIE,92400,200054781
519037584,SNCF VOYAGEURS,CAMILLE MOKE,SAINT-DENIS,93210,200054781
775694748,CAISSE CENTRALE ACTIVITE SOCIALE (CCAS),DE ROSNY,MONTREUIL,93100,200054781
934430323,CERES,DE VERDUN RAMBAUD,LYON,69002,200046977
775634132,VVF,CLAUDE DANZIGER,CLERMONT-FERRAND,63100,246300701
