nom,siren,nombre_etablissements,nombre_etablissements_ouverts,num�ro_voie,adresse,complement_voie,code_postal,ville,activit�,caract�re_employeur,epci,etat_administratif,date_creation,tranche_effectif_salarie
ELECTRICITE DE FRANCE (EDF),552081317,9135,3613,22,DE WAGRAM,22-30,75008,PARIS,35.11Z,O,200054781,A,2006-08-01,NN
ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),662025196,7074,2979,51,DES MECHES,,94000,CRETEIL,56.29B,N,200054781,A,2025-04-01,NN
SOCIETE GENERALE (SG),552120222,4245,2655,29,HAUSSMANN,,75009,PARIS,64.19Z,O,200054781,A,1900-01-01,41
SNCF RESEAU,412280737,2235,2071,15,JEAN-PHILIPPE RAMEAU,15 AU 17,93200,SAINT-DENIS,52.21Z,O,200054781,A,2015-10-01,41
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
BNP PARIBAS (HELLO BANK!),662042449,3762,2016,16,DES ITALIENS,,75009,PARIS,64.19Z,O,200054781,A,1966-07-01,42
ORANGE,380129866,4451,1867,111,DU PRESIDENT ROOSEVELT,,92130,ISSY-LES-MOULINEAUX,61.10Z,O,200054781,A,2020-06-01,51
COMPASS GROUP FRANCE,632041042,7197,1770,117,DE LA REPUBLIQUE,117-133,92320,CHATILLON,56.29A,O,200054781,A,2017-01-13,32
LIDL (LIDL),343262622,2720,1691,1,DE HANOVRE,,92290,CHATENAY-MALABRY,70.10Z,O,200054781,A,2024-06-17,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
ELECTRICITE DE FRANCE (EDF),552081317,9135,3613,22,DE WAGRAM,22-30,75008,PARIS,35.11Z,O,200054781,A,2006-08-01,NN
ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),662025196,7074,2979,51,DES MECHES,,94000,CRETEIL,56.29B,N,200054781,A,2025-04-01,NN
SOCIETE GENERALE (SG),552120222,4245,2655,29,HAUSSMANN,,75009,PARIS,64.19Z,O,200054781,A,1900-01-01,41
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
BNP PARIBAS (HELLO BANK!),662042449,3762,2016,16,DES ITALIENS,,75009,PARIS,64.19Z,O,200054781,A,1966-07-01,42
ORANGE,380129866,4451,1867,111,DU PRESIDENT ROOSEVELT,,92130,ISSY-LES-MOULINEAUX,61.10Z,O,200054781,A,2020-06-01,51
COMPASS GROUP FRANCE,632041042,7197,1770,117,DE LA REPUBLIQUE,117-133,92320,CHATILLON,56.29A,O,200054781,A,2017-01-13,32
CREDIT LYONNAIS (LCL),954509741,3436,1441,18,DE LA REPUBLIQUE,,69002,LYON,64.19Z,O,200046977,A,2001-08-31,41
LE SOUVENIR FRANCAIS,775676182,1484,1408,20,EUGENE FLACHAT,,75017,PARIS,94.99Z,O,200054781,A,2008-06-27,11
SOCIETE NATIONALE SNCF (SNCF),552049447,9179,365,2,AUX ETOILES,,93210,SAINT-DENIS,49.10Z,O,200054781,A,1986-06-23,41
ASSOCIATION DEPARTEMENTALE DE SAVOIE OFFICE CENTRAL DE LA COOPERATION A L ECOLE - O.C.C.E.,392686150,186,185,20,JEAN GOTTELAND,LE BIOLLAY,73000,CHAMBERY,94.99Z,N,200069110,A,2020-11-25,NN
IRISOLAR 24,901859553,235,174,,OLIVIER PERROY,,13790,ROUSSET,70.10Z,N,200054807,A,2021-07-01,NN
VACANCEOLE,519796429,71,58,54,VOIE ALBERT EINSTEIN,PA ALPESPACE-BATIMENT ERIS-FRANCIN,73800,PORTE-DE-SAVOIE,64.20Z,N,200041010,A,2018-10-17,NN
PRODUITS DE REVETEMENT DU BATIMENT (P.R.B.),303789127,52,30,16,DE LA TOUR,ZI SUD LA MOTHE ACHARD,85150,LES ACHARDS,23.64Z,O,248500530,A,1900-01-01,41
CSEC BNPPARIBAS,775693468,22,19,150,DU FAUBOURG POISSONNIERE,,75010,PARIS,94.20Z,O,200054781,A,2019-11-01,12
ASS DEPART PUPILLES ENSEIGNEMENT PUBLIC (ADPEP),301571386,29,16,7,DE TCHECOSLOVAQUIE,2EME ETAGE,62000,ARRAS,88.99B,O,200033579,A,2000-10-01,12
SAMFI 45,908454218,16,16,,DU POIRIER,,14650,CARPIQUET,35.11Z,N,200065597,A,2021-12-16,NN
COMMUNAUTE DE COMMUNES USSES ET RHONE,200070852,13,9,70,DE LA SEMINE,,74270,CHENE-EN-SEMINE,84.11Z,O,200070852,A,2025-09-09,NN
FERROGLOBE FRANCE,642005177,31,8,711,DES LANDIERS,IMMEUBLE LANDART - BATIMENT A 3EME ET,73000,CHAMBERY,20.13B,N,200069110,A,2024-12-02,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
ENGIE (ENGIE),542107651,1418,927,1,SAMUEL DE CHAMPLAIN,,92400,COURBEVOIE,35.23Z,O,200054781,A,2010-02-01,42
"ADECCO FRANCE (ADECCO FRANCE, LHH RECRUITMENT SOLUTIONS, AKKODIS TALENT)",998823504,3211,922,2,HENRI LEGAY,,69100,VILLEURBANNE,78.20Z,N,200046977,A,2016-10-03,31
DISTRIBUTION CASINO FRANCE (DCF),428268023,4452,832,1,ANTOINE GUICHARD,,42000,SAINT-ETIENNE,47.11F,O,244200770,A,2007-11-01,42
KLARA,897492294,577,577,34,DES CHAMPS ELYSEES,,75008,PARIS,35.11Z,N,200054781,A,2021-03-01,NN
MANPOWER FRANCE,429955297,1514,543,6,DES DEGRES,TOUR LANDSCAPE,92800,PUTEAUX,78.20Z,N,200054781,A,2023-08-01,41
COLAS FRANCE,329338883,557,427,1,DU COLONEL PIERRE AVIA,,75015,PARIS,42.11Z,N,200054781,A,2020-08-01,21
SUEZ EAU FRANCE,410034607,434,299,4,DE LA PYRAMIDE,ALTIPLANO,92800,PUTEAUX,36.00Z,O,200054781,A,2025-01-15,NN
CONFORAMA FRANCE,414819409,323,245,80,DU MANDINET,LOGNES,77185,LOGNES,47.59A,O,200057958,A,1999-01-27,41
TEREVA,434004198,214,174,18,ARSENE D'ARSONVAL,ZI NORD,01000,BOURG-EN-BRESSE,46.74B,N,200071751,A,2000-11-28,32
PV PROD 2,881291959,367,348,4,ZA LE MOULINS,,04220,CORBIERES-EN-PROVENCE,35.11Z,N,200034700,A,2022-06-07,NN
T.D-DISTRIBUTION THEVENIN-DUCROT-DISTRIBUTION (AVIA),352860639,435,284,7,DU POINT DU JOUR,,21800,CHEVIGNY-SAINT-SAUVEUR,47.78B,O,242100410,A,2001-11-01,12
ARKOLIA INVEST 121,921515391,109,71,16,DES VERGERS,ZONE D ACTIVITES DU BOSC,34130,MUDAISON,35.11Z,N,243400470,A,2022-10-26,NN
SOLEIL 12,891013476,49,44,3,DE LACOURTENSOURT,,31150,FENOUILLET,35.11Z,N,243100518,A,2020-10-28,NN
PV PROD 3 (PV PROD 3),884346099,26,23,15,LE MOULIN,,04220,CORBIERES-EN-PROVENCE,35.11Z,N,200034700,A,2024-01-29,NN
COMMUNE DE CHALEY,210100764,3,3,,,HOTEL DE VILLE,01230,CHALEY,84.11Z,O,240100883,A,1983-03-01,02
PHILIPPE BESSARD,332056910,14,2,7,DU CHATEAU,,07100,ANNONAY,68.20A,N,200072015,A,2021-01-01,NN
L'AUBERGE CAMPAGNARDE - MERLOZ (SARL L'AUBERGE CAMPAGNARDE - MERLOZ),453250201,2,2,4,LE VILLAGE,,01230,EVOSGES,46.19B,O,200042935,A,2004-04-01,01
DIEGO HEU,522731256,8,2,827,JACQUES DUPRE,,07170,VILLENEUVE-DE-BERG,01.49Z,N,240700815,A,2020-03-01,NN
FORCES MOTRICES DE L'AIN ET DU JURA (FMAJ),304154859,4,2,120,DE LA OUTARDE,,01500,CHATEAU-GAILLARD,35.11Z,O,240100883,A,2018-05-01,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
ELECTRICITE DE FRANCE (EDF),552081317,9135,3613,22,DE WAGRAM,22-30,75008,PARIS,35.11Z,O,200054781,A,2006-08-01,NN
SNCF RESEAU,412280737,2235,2071,15,JEAN-PHILIPPE RAMEAU,15 AU 17,93200,SAINT-DENIS,52.21Z,O,200054781,A,2015-10-01,41
DISTRIBUTION CASINO FRANCE (DCF),428268023,4452,832,1,ANTOINE GUICHARD,,42000,SAINT-ETIENNE,47.11F,O,244200770,A,2007-11-01,42
SOCIETE NATIONALE SNCF (SNCF),552049447,9179,365,2,AUX ETOILES,,93210,SAINT-DENIS,49.10Z,O,200054781,A,1986-06-23,41
CAISSE REG CREDIT AGRICOLE MUT CTRE-EST (CRCAMCE),399973825,654,274,1,PIERRE DE TRUCHIS DE LAYS,,69410,CHAMPAGNE-AU-MONT-D OR,64.19Z,O,200046977,A,1995-01-01,42
IRISOLAR 34,925325078,166,165,1200,OLIVIER PERROY,BAT F,13790,ROUSSET,35.11Z,N,200054807,A,2024-02-27,NN
PHEBUS INVEST 05,824110902,60,59,3,DE LACOURTENSOURT,,31150,FENOUILLET,35.11Z,N,243100518,A,2016-11-28,NN
SILOSUN PV24 (SILOSUN),939359048,49,49,5,PIERRE DRAVET,,13011,MARSEILLE,35.11Z,N,200054807,A,2024-09-30,NN
SOLEIL 12,891013476,49,44,3,DE LACOURTENSOURT,,31150,FENOUILLET,35.11Z,N,243100518,A,2020-10-28,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
ELECTRICITE DE FRANCE (EDF),552081317,9135,3613,22,DE WAGRAM,22-30,75008,PARIS,35.11Z,O,200054781,A,2006-08-01,NN
ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE),662025196,7074,2979,51,DES MECHES,,94000,CRETEIL,56.29B,N,200054781,A,2025-04-01,NN
SOCIETE GENERALE (SG),552120222,4245,2655,29,HAUSSMANN,,75009,PARIS,64.19Z,O,200054781,A,1900-01-01,41
SNCF RESEAU,412280737,2235,2071,15,JEAN-PHILIPPE RAMEAU,15 AU 17,93200,SAINT-DENIS,52.21Z,O,200054781,A,2015-10-01,41
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
BNP PARIBAS (HELLO BANK!),662042449,3762,2016,16,DES ITALIENS,,75009,PARIS,64.19Z,O,200054781,A,1966-07-01,42
ORANGE,380129866,4451,1867,111,DU PRESIDENT ROOSEVELT,,92130,ISSY-LES-MOULINEAUX,61.10Z,O,200054781,A,2020-06-01,51
LIDL (LIDL),343262622,2720,1691,1,DE HANOVRE,,92290,CHATENAY-MALABRY,70.10Z,O,200054781,A,2024-06-17,NN
OGF,542076799,3072,1639,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,96.03Z,O,200054781,A,2024-07-01,NN
CROIX ROUGE FRANCAISE (CRF),775672272,3582,2030,98,DIDOT,SITE CROIX ROUGE,75014,PARIS,88.99B,O,200054781,A,2006-01-25,01
ORANGE,380129866,4451,1867,111,DU PRESIDENT ROOSEVELT,,92130,ISSY-LES-MOULINEAUX,61.10Z,O,200054781,A,2020-06-01,51
COMPASS GROUP FRANCE,632041042,7197,1770,117,DE LA REPUBLIQUE,117-133,92320,CHATILLON,56.29A,O,200054781,A,2017-01-13,32
MCDONALD'S FRANCE,722003936,1430,1343,1,GUSTAVE EIFFEL,Z I,78280,GUYANCOURT,68.20B,N,200058782,A,1993-09-01,NN
SOGERES (SOGERES),572102176,2856,1221,6,DE LA REDOUTE,,78280,GUYANCOURT,70.10Z,O,200058782,A,2018-01-01,21
SODEXO SANTE MEDICO SOCIAL (SFS),338253081,2965,931,6,DE LA REDOUTE,,78280,GUYANCOURT,56.29A,O,200058782,A,2009-07-01,22
BOULANGERIES BG (B B G),478455793,586,567,615,DE LA CHAFFINE,,13160,CHATEAURENARD,10.71A,O,200035087,A,2023-05-02,22
SANTE RESTAURATION SERVICES (ANTHEMIS),433957693,666,468,14,DES GAUDINES,,78100,SAINT-GERMAIN-EN-LAYE,56.29A,O,200058519,A,2007-04-30,22
SOCIETE NATIONALE SNCF (SNCF),552049447,9179,365,2,AUX ETOILES,,93210,SAINT-DENIS,49.10Z,O,200054781,A,1986-06-23,41
LAFARGE BETONS,414815043,342,274,14,GARIBALDI,14-16,92130,ISSY-LES-MOULINEAUX,23.63Z,N,200054781,A,2021-10-01,11
OGF,542076799,3072,1639,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,96.03Z,O,200054781,A,2024-07-01,NN
OBOL FRANCE 3,828160069,1130,1128,6,DU GENERAL AUDRAN,IMMEUBLE CANOPY,92400,COURBEVOIE,70.22Z,O,200054781,A,2024-07-01,NN
PICOTIE SOLAIRE,538160615,622,379,,LE LANGAULT,,41160,SAINT-HILAIRE-LA-GRAVELLE,35.11Z,N,200040772,A,2011-11-22,NN
VOIES NAVIGABLES DE FRANCE (VNF),130017791,375,370,175,LUDOVIC BOUTLEUX,,62400,BETHUNE,84.13Z,O,200072460,A,2013-01-01,32
T.D-DISTRIBUTION THEVENIN-DUCROT-DISTRIBUTION (AVIA),352860639,435,284,7,DU POINT DU JOUR,,21800,CHEVIGNY-SAINT-SAUVEUR,47.78B,O,242100410,A,2001-11-01,12
OTS T1,910546472,212,197,17,GEORGES BIZET,,75016,PARIS,35.11Z,N,200054781,A,2022-02-15,NN
IRISOLAR 25 (IRISOLAR 25),901859645,236,188,1200,OLIVIER PERROY,BATIMENT F,13790,ROUSSET,35.11Z,N,200054807,A,2021-07-01,NN
IRISOLAR 28,911666824,174,142,1200,OLIVIER PERROY,BAT F,13790,ROUSSET,35.11Z,N,200054807,A,2022-03-14,NN
MAZAGRAN SERVICE,416220010,141,98,,DE L'ETANG,ZI,89200,AVALLON,70.10Z,O,200039758,A,1995-08-01,03
SCHIEVER CARBURANTS,507841229,106,91,,DE L'ETANG,ZONE INDUSTRIELLE,89200,AVALLON,47.30Z,O,200039758,A,2008-09-01,01
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
SNCF RESEAU,412280737,2235,2071,15,JEAN-PHILIPPE RAMEAU,15 AU 17,93200,SAINT-DENIS,52.21Z,O,200054781,A,2015-10-01,41
DISTRIBUTION CASINO FRANCE (DCF),428268023,4452,832,1,ANTOINE GUICHARD,,42000,SAINT-ETIENNE,47.11F,O,244200770,A,2007-11-01,42
LYONNAISE DE BANQUE (CIC LYONNAISE DE ...),954507976,714,374,8,DE LA REPUBLIQUE,,69001,LYON,64.19Z,O,200046977,A,1900-01-01,32
SOCIETE NATIONALE SNCF (SNCF),552049447,9179,365,2,AUX ETOILES,,93210,SAINT-DENIS,49.10Z,O,200054781,A,1986-06-23,41
CAISSE REG CREDIT AGRICOLE MUT CTRE-EST (CRCAMCE),399973825,654,274,1,PIERRE DE TRUCHIS DE LAYS,,69410,CHAMPAGNE-AU-MONT-D OR,64.19Z,O,200046977,A,1995-01-01,42
IRISOLAR 34,925325078,166,165,1200,OLIVIER PERROY,BAT F,13790,ROUSSET,35.11Z,N,200054807,A,2024-02-27,NN
ALFA 3A,775544026,255,163,14,AGUETANT,,01500,AMBERIEU-EN-BUGEY,70.10Z,O,240100883,A,2009-01-01,21
GROUPE SOS SENIORS,775618150,133,85,47,HAUTE SEILLE,,57000,METZ,70.10Z,O,200039865,A,2013-05-13,21
SILVERSUN DGS 2,951830413,71,70,20,RENE DUMONT,ZA LA BERTOIRE 2,13410,LAMBESC,35.11Z,N,200054807,A,2025-04-30,NN
LA POSTE,356000000,13095,9065,9,DU COLONEL PIERRE AVIA,DIRECTION GENERALE DE LA POSTE,75015,PARIS,53.10Z,O,200054781,A,2003-01-01,51
